CJIS_SPN,CJIS_CASE_NUMBER,CASE_DEFENDANT_ID,CHARGE_ID,OLD_STATUS,OLD_LOCATION,OLD_BOND_AMT
118007,2026CF599A1,892489,1240396,,,
122427,2026CF1762A1,896932,1247682,,,
122427,2026CF1762A2,896932,1247683,,,
123084,2025CF829A1,877860,1219613,,,
123286,2026CF1852A1,897375,1248483,,,
123286,2026CF1852A2,897375,1248485,,,
123286,2026CF1852A3,897375,1248484,,,
123605,2026CF1529A1,895912,1246294,,,
125241,2024CF3570A1,874532,1214285,,,
126088,2020CF2924A1,811259,1118517,,,
126088,2020CF2924A2,811259,1118519,,,
126088,2024CF3452A1,874109,1213626,,,
126088,2024CF3452A2,874109,1213627,,,
126088,2026CF39A1,890526,1236826,,,
126088,2026CF39A2,890526,1236827,,,
126453,2023CF406A1,846838,1171144,,,
126453,2023CF406A2,846838,1171146,,,
126453,2025CF1616E5,881344,1225521,,,
127432,2025CF1982A1,882287,1227070,,,
128326,2026CF402A1,891773,1239162,,,
128326,2026CF402A10,891773,1239171,,,
128326,2026CF402A11,891773,1239172,,,
128326,2026CF402A12,891773,1239173,,,
128326,2026CF402A2,891773,1239163,,,
128326,2026CF402A3,891773,1239164,,,
128326,2026CF402A4,891773,1239165,,,
128326,2026CF402A5,891773,1239166,,,
128326,2026CF402A6,891773,1239167,,,
128326,2026CF402A7,891773,1239168,,,
128326,2026CF402A8,891773,1239169,,,
128326,2026CF402A9,891773,1239170,,,
128932,2025CF2910A2,887937,1232840,,,
129320,2022CF1854A1,837608,1156734,,,
129320,2026CF1724A1,896795,1247485,,,
129320,2026CF1724A2,896795,1247486,,,
129933,2026CF1875A1,897459,1248631,,,
129933,2026CF1875A2,897459,1248632,,,
130567,2024CF1053A1,865212,1198776,,,
130567,2025CF64A1,875020,1215047,,,
130567,2025CF64A2,875020,1215049,,,
130567,2025CF64A3,875020,1215048,,,
130567,2025CF667A1,877264,1218455,,,
130567,2025CF667A2,877264,1218457,,,
131167,2024CF2040A1,868709,1204917,,,
131167,2026CF1965A1,898015,1249788,,,
132826,2025CF2297A1,883695,1229055,,,
132826,2025CF2297A2,883695,1230716,,,
133579,2026MM1249A1,897061,1247906,,,
138444,2026CF645A1,892673,1240656,,,
138444,2026CF645A2,892673,1240657,,,
138617,2023CF3376A1,860017,1190747,,,
138617,2024CF2467A1,870132,1207191,,,
138617,2025CF1571A1,880714,1224444,,,
138617,2026CF397A1,891759,1239138,,,
138617,2026CF397A13,891759,1239142,,,
138617,2026CF397A2,891759,1239139,,,
138617,2026CF397A3,891759,1239140,,,
138617,2026CF397A4,891759,1239141,,,
139817,2024MM2203A1,873087,1211921,,,
139817,2025CF120A1,875309,1215438,,,
139817,2025CF1519A1,880556,1224189,,,
139817,2025CF1519A2,880556,1224188,,,
141238,2010CF2654A1,548526,750798,,,
141238,2010CF2654A2,548526,750800,,,
141238,2010CF2654A3,548526,750799,,,
144744,2025CF2851A1,887764,1232555,,,
144744,2025CF3394A1,889916,1235941,,,
144873,2026HH396A1,894767,1244553,,,
145750,2026CF676A1,892772,1240804,,,
146128,2026CF1241A1,894895,1244702,,,
146128,2026MM851A1,894853,1244671,,,
146128,2026MM851A2,894853,1244672,,,
148137,2026CF840A1,893454,1242124,,,
148137,2026CF840A2,893454,1242126,,,
148137,2026CF840A3,893454,1242125,,,
148137,2026CF840A4,893454,1242127,,,
148137,2026CF840A5,893454,1242128,,,
148137,2026CF840A6,893454,1242129,,,
151016,2026CF1958A1,897984,1249737,,,
151194,2021CF1360A1,820577,1131870,,,
151194,2021CF1360A2,820577,1131869,,,
152325,2019CF313A1,783169,1072302,,,
152325,2026CT894A1,897373,1248481,,,
153741,2021CF2971A1,829354,1143805,,,
153741,2021CF2971A2,829354,1143806,,,
153741,2021CF2971A3,829354,1143807,,,
153741,2021CF2971A4,829354,1143811,,,
153741,2021CF2971A5,829354,1143808,,,
153741,2021CF2971A6,829354,1143809,,,
153741,2021CF2971A7,829354,1143812,,,
153741,2021CF2971A8,829354,1148495,,,
154966,2023CF2852A1,857913,1187649,,,
154966,2023CF2852A2,857913,1187647,,,
154966,2026CF1776A1,896980,1247757,,,
155548,2026CF1770A1,896968,1247732,,,
155548,2026CF1770A2,896968,1247733,,,
155548,2026CF1770A3,896968,1247734,,,
155556,2026CF1966A1,898016,1249789,,,
155663,2026CF1305A1,895076,1244998,,,
155663,2026CF1305A2,895076,1244996,,,
155663,2026CF1305A3,895076,1244995,,,
155663,2026CF1305A4,895076,1244997,,,
156089,2019CF3418A1,794254,1090468,,,
156926,2026CF1745A1,896843,1247575,,,
156950,2024CF530B3,865099,1198583,,,
156950,2024CF530B4,865099,1198585,,,
157189,2026CF769A1,893200,1241490,,,
157189,2026CF769A2,893200,1241491,,,
157487,2026CF309A1,891434,1238658,,,
157487,2026HH122A1,891649,1238967,,,
157487,2026HH122A2,891649,1238968,,,
158197,2026CF592A1,892466,1240348,,,
159800,2024CF3410A1,873925,1213359,,,
159800,2024CF3410A13,873925,1213364,,,
159800,2024CF3410A14,873925,1213365,,,
159800,2024CF3410A2,873925,1213360,,,
159800,2024CF3410A3,873925,1213362,,,
159800,2024CF3410A4,873925,1213363,,,
159800,2024CF3410A5,873925,1213374,,,
159800,2024CF3410A6,873925,1213361,,,
160285,2026CF1747A1,896854,1247592,,,
160285,2026CF1747A2,896854,1247594,,,
160285,2026MM820A1,894648,1244365,,,
160575,2025CF1775A1,881509,1225828,,,
162864,2025CF2855A1,887775,1232567,,,
162864,2025CF2855A2,887775,1232568,,,
163185,2022CF1412A1,836155,1154513,,,
163185,2022CF1412A2,836155,1154514,,,
163850,2022CF2904A1,841454,1162879,,,
163850,2022CF2904A2,841454,1162880,,,
163850,2022CF2904A3,841454,1163026,,,
163850,2022CT798A1,835567,1153567,,,
164530,2025CF1174A1,879259,1222108,,,
164530,2025CF1174A2,879259,1222109,,,
164530,2025CF1174A4,879259,1222110,,,
164530,2025CF1174A5,879259,1222111,,,
164699,2024CF3155A1,872888,1211447,,,
166623,2026CF957A1,893827,1243075,,,
166623,2026CF957A2,893827,1243076,,,
168097,2026CF834A1,893413,1241822,,,
168097,2026CF834A2,893413,1241823,,,
168097,2026CF834A3,893413,1241819,,,
168097,2026CF834A4,893413,1241820,,,
168097,2026CF834A5,893413,1241821,,,
168097,2026CF834A6,893413,1241824,,,
168097,2026CF834A7,893413,1241825,,,
168097,2026CF834A8,893413,1241826,,,
168097,2026CF834A9,893413,1241827,,,
168108,2025CF2172A1,883056,1228158,,,
168108,2026CF210A1,891110,1238158,,,
168108,2026CF261A1,891270,1238408,,,
168108,2026CF261A2,891270,1238409,,,
168108,2026HH624A1,897419,1248554,,,
168108,2026HH624A2,897419,1248555,,,
168577,2024CF946A1,864770,1198061,,,
168810,2025CF2202A1,883209,1228376,,,
168810,2025CF2202A2,883209,1228377,,,
168810,2025CF2202A3,883209,1228378,,,
168810,2025CF2202A4,883209,1228379,,,
168810,2025CF2292A1,883677,1229017,,,
168810,2025CF2292A2,883677,1229018,,,
168810,2025CF2292A3,883677,1229021,,,
168810,2025CF2292A4,883677,1229019,,,
168810,2025CF2292A5,883677,1229020,,,
170505,2026CF753A1,893129,1241390,,,
170505,2026CF753A2,893129,1241391,,,
170505,2026CF753A3,893129,1241392,,,
170505,2026CF753A4,893129,1241389,,,
171037,2026MM786A1,894430,1244084,,,
171120,2026HH169A1,892176,1239834,,,
171120,2026HH169A2,892176,1239835,,,
171120,2026HH169A3,892176,1239836,,,
171120,2026HH169A4,892176,1239837,,,
172830,2022CF2346A1,839395,1159515,,,
174995,2025CF2090A1,882677,1227647,,,
174995,2025CF2090A2,882677,1227648,,,
174995,2025CF2090A3,882677,1227649,,,
175009,2025CF2780A1,887468,1231956,,,
175978,2026CF1773A1,896976,1247748,,,
175978,2026CF1773A2,896976,1247750,,,
176132,2017CF1782A1,745683,1017151,,,
176132,2017CF1782A2,745683,1017152,,,
176259,2005CF3322A3,419257,567909,,,
176748,2026CF1001A1,894019,1243368,,,
176765,2009CF769A1,515605,701571,,,
178595,2025MM2001A1,888225,1233318,,,
178684,2026MM736A1,894236,1243755,,,
180104,2026CF701A1,892908,1241038,,,
180104,2026CF701A2,892908,1241039,,,
180640,2025CF497A1,876714,1217594,,,
180640,2025CF497A2,876714,1217595,,,
180800,2024CF2015A1,868629,1204328,,,
180807,2024MM2429A1,874218,1213781,,,
180807,2025CF1057A1,878789,1221392,,,
180807,2025CF1058A1,878790,1221395,,,
180807,2025MM1727A1,886889,1231062,,,
180807,2026CF704A1,892932,1241056,,,
180807,2026CF704A2,892932,1241057,,,
180807,2026CF704A3,892932,1241058,,,
181963,2026CF426A1,891867,1239322,,,
182345,2014CF2393A1,677959,920997,,,
182345,2015CF889A1,691371,940139,,,
182345,2015CF896A1,691440,940242,,,
182385,2025CF1148A1,879161,1221957,,,
182385,2025CF1734A1,881351,1225533,,,
183114,2020CF2821A1,810853,1115708,,,
183114,2020CF2821A2,810853,1118541,,,
183114,2026CF1011A1,894064,1243435,,,
183114,2026CF1011A2,894064,1243436,,,
183415,2026CF1127A1,894423,1244072,,,
183415,2026CF1127A2,894423,1244075,,,
183719,2026CF1964A1,897994,1249771,,,
183719,2026CF1964A2,897994,1249773,,,
183719,2026CF1964A3,897994,1249775,,,
183719,2026CF1964A4,897994,1249774,,,
183719,2026CF1964A5,897994,1249772,,,
183984,2025CF2033A1,882479,1227322,,,
183984,2025CF2033A2,882479,1227320,,,
183984,2025CF2033A3,882479,1227321,,,
183984,2025CF2033A4,882479,1227319,,,
184102,2026CT72A1,891042,1238063,,,
184237,2024CF1286A1,866049,1200099,,,
184237,2024CF1286A10,866049,1200108,,,
184237,2024CF1286A11,866049,1200354,,,
184237,2024CF1286A12,866049,1200355,,,
184237,2024CF1286A2,866049,1200100,,,
184237,2024CF1286A3,866049,1200101,,,
184237,2024CF1286A4,866049,1200102,,,
184237,2024CF1286A5,866049,1200103,,,
184237,2024CF1286A6,866049,1200104,,,
184237,2024CF1286A7,866049,1200105,,,
184237,2024CF1286A8,866049,1200106,,,
184237,2024CF1286A9,866049,1200107,,,
185130,2026CF1629A1,896303,1246906,,,
185130,2026CF1862A1,897398,1248519,,,
185499,2026MM1560A1,899018,1251371,,,
185499,2026MM1560A2,899018,1251372,,,
185499,2026MM1560A3,899018,1251373,,,
185511,2025CF1719A1,881291,1225419,,,
185511,2025CF2587A1,886770,1230827,,,
185511,2026CF1722A1,896792,1247479,,,
185511,2026CF1722A2,896792,1247480,,,
185511,2026CF1722A3,896792,1247481,,,
185511,2026CF1722A4,896792,1247482,,,
186809,2026CF167A1,890946,1237877,,,
186809,2026CF167A2,890946,1237878,,,
186809,2026CF167A3,890946,1237879,,,
186809,2026CF167A4,890946,1237881,,,
186809,2026CF167A5,890946,1237883,,,
186809,2026CF447A1,891916,1239400,,,
186809,2026CF447A2,891916,1239401,,,
186809,2026CF447A3,891916,1239402,,,
186809,2026MM102A1,890945,1237874,,,
186809,2026MM102A2,890945,1237876,,,
186809,2026MM102A3,890945,1237875,,,
188505,2025CF1213A2,879453,1222402,,,
188505,2025CF384A1,876325,1216975,,,
188505,2025CF384A2,876325,1216976,,,
188505,2025CF504A2,876734,1217621,,,
188505,2026MM967A1,895474,1245577,,,
188788,2007CF128A1,456364,621370,,,
188788,2007CF128A2,456364,621371,,,
190014,2025CF1969A1,882249,1227009,,,
190014,2025CF1969A2,882249,1227008,,,
190014,2025CF1969A3,882249,1227012,,,
192080,2024CF1270A1,866004,1199979,,,
192080,2024CF1270A2,866004,1199978,,,
192080,2024CF1270A3,866004,1206147,,,
192080,2024CF1270A4,866004,1206148,,,
192301,2026CF743A1,893078,1241327,,,
195077,2025CF2302A1,883716,1229066,,,
195187,2025CF1616F28,882033,1226712,,,
195187,2025CF1616F34,882033,1226711,,,
195250,2026CF1469A2,895748,1245975,,,
195250,2026CF1469A3,895748,1245976,,,
195639,2025MM597A1,877909,1219687,,,
195639,2026CF1136A1,894469,1244135,,,
195639,2026CF1136A2,894469,1244136,,,
196041,2026CF1574A1,896064,1246630,,,
196041,2026CF1574A2,896064,1246632,,,
196041,2026CF1574A3,896064,1246631,,,
197007,2023CF2724A1,857460,1186849,,,
197007,2023CF2724A2,857460,1186850,,,
197007,2023CF2724A3,857460,1186851,,,
197007,2023CF2724A4,857460,1186854,,,
197007,2023CF2724A5,857460,1186852,,,
197007,2023CF2724A6,857460,1186853,,,
197007,2026CF1261A1,894970,1244797,,,
197007,2026CF1261A2,894970,1244796,,,
197007,2026CF1261A3,894970,1244798,,,
197351,2026CF1952A1,897939,1249693,,,
197351,2026CF1952A2,897939,1249694,,,
197593,2024CF2253A1,869367,1205987,,,
197593,2024CF2253A2,869367,1205988,,,
197967,2025CF1648A2,881016,1224972,,,
198368,2026CF1366A1,895343,1245387,,,
198368,2026CF1366A2,895343,1245388,,,
198368,2026CF1366A3,895343,1245392,,,
198368,2026CF1366A4,895343,1245389,,,
198368,2026CF1366A5,895343,1245390,,,
198368,2026CF1366A6,895343,1245391,,,
198368,2026CF1412A1,895525,1245640,,,
198368,2026CF1412A2,895525,1245639,,,
198368,2026CF1414A1,895533,1245656,,,
198368,2026CF1414A2,895533,1245657,,,
198368,2026CF1414A3,895533,1245658,,,
198368,2026CF1414A4,895533,1245655,,,
198368,2026CF1414A5,895533,1245659,,,
198368,2026CF1442A1,895621,1245787,,,
198368,2026CF1442A2,895621,1245788,,,
198368,2026CF1442A3,895621,1245790,,,
198368,2026CF1442A4,895621,1245784,,,
198368,2026CF1442A5,895621,1245785,,,
198368,2026CF1442A6,895621,1245786,,,
198368,2026CF1442A7,895621,1245789,,,
198368,2026CF1442A8,895621,1245791,,,
198368,2026CF1442A9,895621,1245792,,,
199126,2023CF1546A1,851816,1178707,,,
199126,2023CF1546A2,851816,1178709,,,
199238,2024CF1448A1,866560,1201002,,,
199238,2024CF1448A2,866560,1201003,,,
199238,2024CF1448A3,866560,1201004,,,
199238,2024CF1485A1,866697,1201248,,,
199238,2024CF1485A2,866697,1201249,,,
199238,2024CF1485A3,866697,1201250,,,
199238,2024CF1622A1,867196,1202060,,,
199238,2026MM554A1,893177,1241467,,,
200340,2025CF101A1,875229,1215339,,,
200340,2025CF355A1,876110,1216630,,,
201666,2023CF1228A1,850433,1176632,,,
201666,2023CF1228A2,850433,1176633,,,
201666,2023CF1256A1,850537,1176851,,,
201666,2023CF1256A2,850537,1176852,,,
201666,2023CF1256A3,850537,1176853,,,
201666,2026CF1405A1,895489,1245598,,,
203093,2025CF3250A1,889291,1234939,,,
203093,2025CF3250A10,889291,1234944,,,
203093,2025CF3250A2,889291,1234940,,,
203093,2025CF3250A5,889291,1234943,,,
203093,2025CF3250A6,889291,1234942,,,
203093,2025CF3250A7,889291,1234941,,,
203093,2025CF3250A8,889291,1234937,,,
203093,2025CF3250A9,889291,1234938,,,
204370,2016CF1912A1,728941,990341,,,
204370,2026CF1755A1,896913,1247647,,,
204370,2026CF1755A2,896913,1247648,,,
204370,2026CF1755A3,896913,1247649,,,
204370,2026CF1755A4,896913,1247650,,,
204370,2026CF1755A5,896913,1247651,,,
204370,2026HH586A1,896900,1247634,,,
204378,2024CF2978A2,872191,1210348,,,
204378,2024CF2978A3,872191,1212940,,,
205279,2009CF3054A1,527845,719889,,,
205279,2009CF3054A4,527845,766751,,,
205279,2024CF2825A1,871644,1209491,,,
205279,2024CF2825A2,871644,1209492,,,
205401,2025CF1459A1,880380,1223847,,,
205401,2025CF1459A3,880380,1223848,,,
205401,2025CF1459A4,880380,1223849,,,
205625,2024CF3328A1,873630,1212737,,,
205625,2024CF3328A2,873630,1212738,,,
206155,2023CF1158A1,850172,1176049,,,
206155,2023CF1158A2,850172,1176050,,,
206155,2023CF1158A3,850172,1176052,,,
206155,2023CF1158A4,850172,1176051,,,
207133,2026CF547A1,892312,1240056,,,
207133,2026CF547A2,892312,1240057,,,
207133,2026CF547A3,892312,1240058,,,
207759,2025CF1319A1,879843,1223035,,,
208266,2025CF2629A1,886899,1231075,,,
208266,2025CF2629A2,886899,1231074,,,
208784,2019CF2291A1,790070,1083943,,,
208784,2026CF1372A1,895353,1245409,,,
208784,2026CF1372A2,895353,1245407,,,
208784,2026CF1372A3,895353,1245408,,,
208784,2026CF1372A4,895353,1245411,,,
208784,2026CF1372A5,895353,1245410,,,
208949,2026CF799A2,893282,1249778,,,
208949,2026CF799A3,893282,1249779,,,
209013,2025CF226A1,875606,1215967,,,
209077,2026CF942A1,893781,1243004,,,
209161,2025CF3339A1,889686,1235514,,,
209260,2023CF1190A1,850278,1176442,,,
209555,2026CF1757A1,896925,1247666,,,
211518,2024CF1421A1,866441,1200843,,,
211518,2024CF1421A2,866441,1200844,,,
211651,2025CF2227A1,883325,1228547,,,
211651,2025CF2227A3,883325,1228548,,,
212620,2025CF2717A1,887243,1231599,,,
214849,2026CF1177A1,894617,1244326,,,
214849,2026CF1177A2,894617,1244327,,,
214849,2026CF1177A3,894617,1244328,,,
214880,2026CF1103A1,894336,1243913,,,
214880,2026CF1103A2,894336,1243914,,,
214880,2026CF1103A3,894336,1243915,,,
214880,2026CF613A1,892570,1240501,,,
214880,2026CF613A2,892570,1240503,,,
214880,2026CF613A3,892570,1240502,,,
214880,2026MM452A1,892492,1240409,,,
215036,2026CF1476A1,895761,1245997,,,
215036,2026CF1476A2,895761,1245998,,,
215036,2026CF1476A3,895761,1245996,,,
215790,2025CF1565A1,880702,1224424,,,
215924,2025CF1095A1,878961,1221608,,,
215924,2025CF1095A2,878961,1221607,,,
215924,2026CF721A1,892977,1241127,,,
215924,2026CF721A2,892977,1241124,,,
215924,2026CF721A3,892977,1241128,,,
215924,2026CF721A4,892977,1241125,,,
215924,2026CF721A5,892977,1241126,,,
215924,2026CF721A6,892977,1241129,,,
216156,2026MM70A1,890690,1237105,,,
216929,2025CF2991A1,888270,1233371,,,
218048,2026CF1941A1,897874,1249575,,,
218048,2026CF1941A2,897874,1249574,,,
218048,2026CF1941A3,897874,1249576,,,
218048,2026CF1941A4,897874,1249578,,,
218048,2026CF1941A5,897874,1249577,,,
218048,2026CF87A1,890680,1237086,,,
218048,2026CF87A2,890680,1237085,,,
218048,2026CF87A3,890680,1237084,,,
218153,2026CF736A1,893035,1241268,,,
218153,2026MM1079A1,896084,1246649,,,
220657,2025CF1896A1,881918,1226464,,,
220657,2026CF578A1,892430,1240285,,,
220723,2025CF1315A1,879835,1223023,,,
220723,2025CF1777A1,881513,1225834,,,
221899,2026MM532A1,892993,1241159,,,
222105,2019CF752A1,784717,1074767,,,
222105,2024CF1286G25,873652,1212819,,,
