CJIS_SPN,CJIS_CASE_NUMBER,CASE_DEFENDANT_ID,CHARGE_ID,OLD_STATUS,OLD_LOCATION,OLD_BOND_AMT
137201,2005CF2334A4,413789,560140,D,CLRK,
136313,2005CF2824A1,416496,563922,D,RLSDTS,
85585,2005CT868A1,405262,548569,D,CLRK,
132685,2005MM5924A1,419016,567429,D,RLSDPB,
34745,2005MM8033A1,424268,575068,D,RLSDTS,
136313,2006CF1441A1,435389,590808,D,RLSDNG,
136313,2006CF1441A10,435389,590817,D,RLSDTS,
136313,2006CF1441A12,435389,590819,D,CLRK,
136313,2006CF1441A13,435389,590820,D,CLRK,
